年份,总权重_医疗,重心纬度_医疗,重心经度_医疗,总权重_老龄,重心纬度_老龄,重心经度_老龄,重心距离_km
2012,5.508735,33.557453,113.798951,277.55,33.536856,111.923259,173.839291
2013,6.347421,33.541532,113.605508,287.19,33.576697,112.163481,133.675097
2014,7.05301,33.456956,113.462452,296.39,33.672368,112.117996,126.850859
2015,7.934124,33.379388,113.253639,311.17,33.761329,112.431673,87.195335
2016,8.857979,33.30235,113.157382,321.67,33.807035,112.551155,79.403884
2017,9.850457,33.252074,113.029088,338.08,33.924329,112.609082,84.269319
2018,10.882148,33.239239,112.939193,349.21,33.837856,112.58504,74.21616
2019,11.906472,33.168512,112.882963,370.34,33.881944,112.609239,83.288872
2020,12.80586,33.252944,112.844092,403.49,33.990653,112.77617,82.27029
2021,13.865233,33.266296,112.788131,425.49,34.055884,112.830892,87.887284
2022,14.743728,33.298565,112.747302,445.95,34.093036,112.911565,89.638542
2023,14.911548,33.988177,112.641568,462.55,34.124119,112.964932,33.405155
2024,15.886153,34.045572,112.627408,472.06,34.171284,113.024961,39.179955
