地区,2006年,2007年,2008年,2009年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
北京市,11.23,10.2,10.29,10.1,8.82,8.6,8.58,8.55,10.65,11.74,12.5,11.25,11.45,13.3,14.23,15.12,15.86,16.48
天津市,10.55,10.85,12.28,11.04,9.77,10.46,11.46,11.68,10.29,11.36,11.29,10.92,12.08,14.75,15.92,17.01,17.91,18.57
河北省,8.49,8.86,8.74,8.86,8.17,9.09,9.17,9.32,10.17,10.91,11.8,12.69,13.15,13.92,14.92,15.64,16.24,16.46
山西省,6.98,7.3,7.88,8.09,7.77,7.97,7.97,8.52,9.19,8.7,8.99,10.32,11,12.9,13.68,14.48,15.2,15.79
内蒙古自治区,7.79,8.17,8.11,8.46,6.89,7.87,8.55,9.33,9.56,9.44,10.84,9.85,10.2,13.05,13.84,14.69,15.45,16.04
辽宁省,10.59,10.63,11.33,11.5,10.77,9.94,10.22,12.16,12.87,13.22,14.08,14.98,15.92,17.42,18.8,20.02,21.06,21.9
吉林省,8.26,8.81,9.13,8.89,8.7,7.74,9.66,10.17,10.91,10.85,12.2,12.37,13.29,15.61,16.71,17.75,18.65,19.41
黑龙江省,8.07,8.94,9.12,8.66,7.99,8.84,8.94,9.39,10.84,11.94,12.14,12.21,13.78,15.61,16.78,17.82,18.81,19.41
上海市,14.41,14.25,13.04,14.08,7.87,9.01,10.64,9.68,12.82,12.96,14.26,14.95,16.26,16.28,17.45,18.67,19.56,20.25
江苏省,11.06,11.15,11.74,12.03,10.82,11.5,12.25,12.06,12.69,13.5,13.93,14.3,15.08,16.2,17.04,17.87,18.46,18.78
浙江省,10.04,10.63,10.65,11.07,8.57,8.75,9.2,9.62,11.27,11.64,12.48,12.99,14.03,13.27,14.17,14.91,15.41,15.72
安徽省,10.21,10.5,10.74,10.15,10.48,10.32,10.53,10.42,11.18,11.47,13,13.2,13.97,15.01,15.44,15.79,15.87,15.69
福建省,9.35,10.08,10,10.03,7.67,8.59,8.16,7.59,9.01,9.95,9.52,9.49,10,11.1,11.54,12.19,12.63,12.95
江西省,8.49,8.95,8.38,8.08,7.62,8.09,9,9.24,9.06,9.6,9.76,9.73,10.15,11.89,12.41,13.03,13.49,13.89
山东省,9.55,9.74,9.75,9.74,10.75,10.51,10.98,11.47,11.66,11.65,12.94,15.16,15.84,15.13,15.92,16.72,17.43,17.73
河南省,8.06,7.57,7.82,8.88,8.8,8.82,8.93,8.76,9.85,10.08,10.84,11.06,11.6,13.49,13.99,14.55,14.89,15.04
湖北省,9.79,9.88,10.13,10.17,10.11,10.76,9.91,10.25,11.23,11.57,12.23,12.49,13.07,14.59,15.42,16.29,16.95,17.29
湖南省,10.56,10.33,10.51,11.18,10.48,11.11,10.57,10.87,11.22,11.89,12.17,12.49,13.14,14.81,15.47,16.12,16.46,16.68
广东省,7.11,7.36,7.56,7.48,6.56,6.98,7.24,8.27,7.37,7.69,7.75,8.26,8.58,8.58,9.12,9.6,9.96,10.19
广西壮族自治区,8.99,9.19,9.35,9.31,9.54,9.33,9.29,9.54,9.76,9.69,9.75,10.03,10.17,12.2,12.59,13.13,13.81,13.97
海南省,8.65,8.86,8.95,8.77,6.88,7.27,8.15,7.66,8.44,8.25,8.19,8.21,9.32,10.43,10.81,11.29,11.69,11.85
重庆市,11.45,11.68,11.96,11.58,12.42,12.9,13.25,14.12,13.29,13.97,14.28,14.47,15.35,17.08,17.76,18.3,18.91,18.87
四川省,11.3,10.99,11.45,12.2,12.03,11.81,12.76,13.99,12.94,13.7,13.93,14.99,15.74,16.93,17.58,18.12,18.46,18.44
贵州省,8.06,8.3,8.14,8.27,9.1,9.16,9.28,9.22,9.48,9.62,9.95,11.34,11.58,11.56,11.76,12.12,12.82,12.9
云南省,7.52,7.45,7.88,8.6,7.69,7.76,8.01,8.72,8.41,8.38,8.4,9.57,9.88,10.75,11.27,11.67,11.95,12.07
西藏自治区,6.41,6.65,6.68,7,4.82,5.41,5.17,5.5,5.71,4.98,5.79,5.68,6.02,5.67,5.81,5.9,6.09,6.3
陕西省,8.93,9.64,9.59,9.89,8.49,9.28,9.83,10.61,10.35,10.74,11.1,11.16,12.05,13.32,14,14.68,15.23,15.68
甘肃省,7.39,7.82,8.17,8.34,8.91,9.24,8.89,8.93,9.36,9.95,10.33,11.32,11.52,12.58,13.04,13.43,13.65,13.63
青海省,6.97,6.52,6.85,6.99,5.93,7.01,7.15,7.1,7.1,7.22,7.9,7.58,8.54,8.68,9.89,10.22,10.46,10.58
宁夏回族自治区,5.96,6.24,6.47,6.8,5.47,6.63,7.08,6.78,7.36,7.78,8.46,8.99,9.51,9.62,10.05,10.43,10.5,10.64
新疆维吾尔自治区,6.65,6.81,7.19,6.66,6.61,6.8,6.37,6.87,7.13,7.23,7.28,7.16,8.07,7.76,8.08,8.39,8.69,8.86
