threshold,rss,aic,bic,adj_r2
0.1099,2.4772951451013574,-808.3185557410807,-608.3717276437466,0.8867745909237216
0.111895,2.484819789368749,-807.0963212688071,-607.149493171473,0.8864306751303153
0.108439,2.4862188531734626,-806.8694782411303,-606.9226501437962,0.8863667305608014
0.112876,2.4872686769029935,-806.6993445203857,-606.7525164230516,0.8863187480983689
0.114677,2.4973140355923538,-805.0750219779161,-605.128193880582,0.8858596224067168
0.106953,2.5006956164744665,-804.5296939780496,-604.5828658807155,0.8857050663864304
0.115798,2.500765309829572,-804.5184626908226,-604.5716345934885,0.8857018810337859
0.116849,2.5040649236349286,-803.9870782105545,-604.0402501132204,0.8855510713397355
0.118886,2.5177669993501173,-801.7879005793407,-601.8410724820066,0.8849248144598824
0.105297,2.5284680123407366,-800.0786996841875,-600.1318715868534,0.8844357219204693
0.120743,2.5333940181180847,-799.2943318199473,-599.3475037226132,0.8842105775647976
0.121971,2.550075843033256,-796.6493669606562,-596.702538863322,0.8834481304846045
0.104231,2.551308745868086,-796.4545728440976,-596.5077447467635,0.8833917803447752
0.124546,2.581913974810425,-791.6489939377375,-591.7021658404034,0.8819929605175448
0.102477,2.607432367260014,-787.6854908783557,-587.7386627810216,0.8808266358550244
0.126392,2.6163904711253485,-786.3033155985963,-586.3564875012622,0.8804172034235654
0.101678,2.6430295882049775,-782.2208670135224,-582.2740389161883,0.8791996557547961
0.128926,2.6681156211515686,-778.4138739601749,-578.4670458628408,0.8780530921940934
0.129713,2.684490936295819,-775.9480575319358,-576.0012294346017,0.8773046542214816
0.131284,2.711136472282611,-771.9677091933363,-572.0208810960022,0.8760868131749163
0.1328,2.734292538940922,-768.5402653340675,-568.5934372367334,0.8750284592177104
0.099602,2.75707574395007,-765.196222891886,-565.2493947945519,0.8739871469976748
0.134906,2.7644601658057013,-764.1182895665561,-564.171461469222,0.8736496401055108
0.098834,2.8059864449895624,-758.1096508707142,-558.1628227733801,0.8717516708799602
0.137973,2.8108922782276156,-757.4056829215788,-557.4588548242447,0.8715274485153636
0.139673,2.842913713231927,-752.8406956151525,-552.8938675178184,0.8700639006273607
0.140645,2.85529006661728,-751.0900814040479,-551.1432533067137,0.8694982362261285
0.143477,2.888395762761941,-746.444373511998,-546.4975454146639,0.8679851319050119
0.097407,2.9008574990859866,-744.7094045036933,-544.7625764063592,0.8674155650546991
0.147414,2.9472641503492825,-738.3134113482611,-538.366583250927,0.8652945371733273
0.149814,2.9808190594104147,-733.7511363954259,-533.8043082980918,0.8637609014608136
0.09619,2.989368257111226,-732.5969585293956,-532.6501304320615,0.8633701581903307
0.151618,3.003317514566403,-730.7208178066403,-530.7739897093062,0.8627326038057448
0.154483,3.0367188127568068,-726.2636060759123,-526.3167779785782,0.8612059889174196
0.095168,3.063086171203815,-722.779523661266,-522.8326955639319,0.8600008620465553
0.156888,3.065252166370625,-722.4946516321806,-522.5478235348465,0.8599018646827151
0.158652,3.0835950073595604,-720.0902377192451,-520.143409621911,0.8590635004374616
0.162088,3.121370227797157,-715.1833280633687,-515.2364999660346,0.8573369743126067
0.164765,3.1464709569666427,-711.955534750195,-512.008706652861,0.8561897390572728
0.093312,3.189544402164686,-706.4761080601165,-506.5292799627824,0.8542210562127934
0.092505,3.23874587984869,-700.3069458589184,-500.3601177615843,0.8519722900740696
0.091461,3.296001327386554,-693.2448407477673,-493.2980126504332,0.8493554151804426
0.077647,3.3128256009480292,-691.1929798152,-491.2461517178659,0.848586457448387
0.08994,3.3720083400869005,-684.0570457723593,-484.1102176750252,0.84588149519853
0.080541,3.412391823978501,-679.2593522910865,-479.31252419375244,0.8440357577244977
0.088531,3.4249827246433213,-677.7751162974587,-477.8282882001246,0.8434602873849089
0.082251,3.4500862484926333,-674.8320868931187,-474.8852587957846,0.8423129243980177
0.086857,3.464616504433238,-673.1383910185991,-473.191562921265,0.8416488153288537
0.084055,3.4726437515695006,-672.2057513538502,-472.25892325651614,0.8412819279426023
0.085624,3.476630286078781,-671.7433797234407,-471.79655162610663,0.841099722361849
