country,cluster_id,cluster_rank,cluster_label,U1_Score,U2_Score,U3_Score,D_Value
Afghanistan,3,4,协调脆弱型,0.4588279752452331,0.4785109413654176,0.0716039691060996,0.500510442707847
Albania,1,1,结果优势型,0.6155133546518531,0.8337439978783607,0.3282567868093952,0.743157136125826
Algeria,2,3,资源短板型,0.7096067957473511,0.7473177680400441,0.2792950514185667,0.7273850752863231
Andorra,1,1,结果优势型,0.66313723740282,0.9248548669203216,0.4251958757006884,0.7993021985854896
Angola,3,4,协调脆弱型,0.4737490723662763,0.4253941261648243,0.0579237168180689,0.4762840601568392
Argentina,1,1,结果优势型,0.6143757775235129,0.8157310324706096,0.4415299041695745,0.7777204736886341
Armenia,3,4,协调脆弱型,0.675367362324039,0.7673276096400736,0.3881206341095246,0.7654460819913956
Australia,1,1,结果优势型,0.6588001248737775,0.8942659251516184,0.4294640382092314,0.7952881776700548
Austria,1,1,结果优势型,0.6239760417511143,0.8865677396804017,0.5220631881727442,0.8130186068615938
Azerbaijan,0,2,资源支撑型,0.5966136238367021,0.6559709257804278,0.3693511512308203,0.7244407458533416
Bahrain,3,4,协调脆弱型,0.6889940163005472,0.7245456653334185,0.3128298597767855,0.7338346857639775
Bangladesh,2,3,资源短板型,0.4776976724125558,0.5964584452648093,0.1391940823577291,0.5839724356422783
Barbados,2,3,资源短板型,0.6674235731654635,0.8259731972004501,0.3286680602495809,0.75223609109857
Belarus,0,2,资源支撑型,0.615239729107248,0.711662211120528,0.4499008067435013,0.7627914942060087
Belgium,1,1,结果优势型,0.6325323269388017,0.8844333829571885,0.455175538310902,0.7961369753515137
Belize,1,1,结果优势型,0.5662547491331975,0.7590844199445607,0.272734802486004,0.6995848820204412
Benin,2,3,资源短板型,0.4916412450968268,0.5394646324232191,0.0777870838942912,0.5237046897542675
Bhutan,2,3,资源短板型,0.5442824440398183,0.634120748338737,0.1946297426488125,0.637579360357519
Bolivia,3,4,协调脆弱型,0.6786458500375145,0.6667215218195865,0.2004848502825545,0.6703138694165464
Bosnia and Herzegovina,1,1,结果优势型,0.6133492254127125,0.826827415969186,0.3531402812958065,0.750778207479359
Botswana,3,4,协调脆弱型,0.4972713932302057,0.5374918051967239,0.1971246556595506,0.6122813698409684
Brazil,2,3,资源短板型,0.5943173847877129,0.7618851787158933,0.2757792076475803,0.7069872469596328
Brunei Darussalam,2,3,资源短板型,0.7437913227791031,0.821643341026897,0.2684816119183462,0.7399030751575871
Bulgaria,0,2,资源支撑型,0.607749972513807,0.7519051626152995,0.4518992068918057,0.7688145590033721
Burkina Faso,3,4,协调脆弱型,0.4786577287452195,0.4778735108013635,0.0861706079771768,0.5197360782632336
Burundi,3,4,协调脆弱型,0.4745072703569678,0.4617745753480946,0.1368875945789682,0.5574075284845549
Cabo Verde,2,3,资源短板型,0.4932633145394994,0.8111429552236707,0.1537909322362869,0.6283252188519688
Cambodia,2,3,资源短板型,0.455166255152436,0.6150511093207489,0.1175551110987663,0.5660921465465544
Cameroon,3,4,协调脆弱型,0.5197361862973233,0.475298457081002,0.1255952530866411,0.5605578398053147
Canada,1,1,结果优势型,0.6771151260763388,0.8955887191005582,0.3987793078405974,0.7893154872450856
Central African Republic,3,4,协调脆弱型,0.4406572087023648,0.3655773174614264,0.0904215745223699,0.4941878127652759
Chad,3,4,协调脆弱型,0.4253027072662585,0.3921315948119691,0.0584381419998688,0.4621728153609223
Chile,2,3,资源短板型,0.6673761024548477,0.8633010541863324,0.3015843916211316,0.7470052096095825
China,1,1,结果优势型,0.5257044565029998,0.7486238158928304,0.255309135435183,0.6818339294142768
Colombia,2,3,资源短板型,0.673976568560992,0.8319814304582608,0.2859666467334352,0.7370760543363386
Comoros,2,3,资源短板型,0.4998846944685901,0.7302544086980503,0.1760626166894124,0.6329001470322811
Costa Rica,2,3,资源短板型,0.6991004344955118,0.8694572871302082,0.3376589783029274,0.7680291216275966
Croatia,1,1,结果优势型,0.6142273310224228,0.8199944333029143,0.4243927693308749,0.7732465711478432
Cuba,0,2,资源支撑型,0.5752541872131754,0.866616716776377,0.5874694782489148,0.8149144644343135
Cyprus,2,3,资源短板型,0.6776506187998667,0.8741941971700856,0.3808817277817797,0.7802503692328651
Czechia,1,1,结果优势型,0.5893725678600492,0.835611705690656,0.4698417278201462,0.783533680760753
Denmark,1,1,结果优势型,0.6183981097520199,0.8603306692443712,0.4620025922394414,0.7914612594031082
Djibouti,2,3,资源短板型,0.5006204163154364,0.6571221838779754,0.1251839579434462,0.5876479526219163
Dominican Republic,1,1,结果优势型,0.5434622393209341,0.8023477203456121,0.3199092359696677,0.7201557997174498
Ecuador,2,3,资源短板型,0.6580038114671578,0.7943265289625997,0.235184221086205,0.7051355484181709
"Egypt, Arab Rep.",3,4,协调脆弱型,0.6531042398535766,0.6059840874208229,0.3699011747282025,0.7259748443819418
El Salvador,1,1,结果优势型,0.590194070916231,0.7813636036671779,0.3165608120070444,0.7256338410840752
Eritrea,2,3,资源短板型,0.4759482961693242,0.6008666044458615,0.0979001422669465,0.5510447398416162
Estonia,0,2,资源支撑型,0.6045227203446383,0.7644047122246753,0.435869955683513,0.7656239074872034
Eswatini,3,4,协调脆弱型,0.5159270422115769,0.483349346937275,0.1633312469120261,0.586569914857617
Ethiopia,3,4,协调脆弱型,0.4684466589303276,0.466756601025362,0.0347530592765721,0.4433948139986421
Fiji,3,4,协调脆弱型,0.6059140003338954,0.648493222455061,0.2747150673158468,0.6900276359726694
Finland,1,1,结果优势型,0.668661776856094,0.8899986758952269,0.4304737064402221,0.7969365548720232
France,1,1,结果优势型,0.661957238114419,0.9035182885634911,0.4967537962319918,0.8168669898715344
Gabon,2,3,资源短板型,0.4892698049940799,0.646826750981117,0.115453189109374,0.5760458517150172
Georgia,0,2,资源支撑型,0.6133019947278173,0.7174758828013484,0.4837818042053086,0.7727194946849465
Germany,1,1,结果优势型,0.6124162313732718,0.8769595977269231,0.4916936084721177,0.8009771745707498
Ghana,2,3,资源短板型,0.4916352607847551,0.5557242162966722,0.0720467023675556,0.5196202595871366
Greece,0,2,资源支撑型,0.6681906116779912,0.8828104315980819,0.5357187325206048,0.8253106379631817
Grenada,2,3,资源短板型,0.6052980503660352,0.7867566897076596,0.2806322154608168,0.7150304562957951
Guinea,3,4,协调脆弱型,0.4690660429452503,0.4539719097020124,0.0747660183492371,0.5015657486456417
Guinea-Bissau,3,4,协调脆弱型,0.4767981426554459,0.4513678460349425,0.0644664138307102,0.490192257610781
Guyana,2,3,资源短板型,0.5586497865690989,0.6648490360602386,0.2375091001454786,0.6672017178394483
Haiti,3,4,协调脆弱型,0.476815812428122,0.4935165064628254,0.08505834614377,0.5210685696298678
Honduras,2,3,资源短板型,0.6263248603450848,0.7754556415828844,0.2435637456625855,0.7006399159214153
Hungary,0,2,资源支撑型,0.5859628314225336,0.7582384757758002,0.4559477920382073,0.7663582446979441
Iceland,1,1,结果优势型,0.6546500292340642,0.91316930692098,0.4988814244572884,0.8173843253177195
India,2,3,资源短板型,0.5469165616350938,0.6380588017009158,0.1203636120887854,0.58958464613995
Indonesia,2,3,资源短板型,0.5860524697811732,0.7279002588028299,0.1473250785747817,0.6305422264894066
Iraq,3,4,协调脆弱型,0.6352387129465139,0.6613206604720179,0.2204871489870802,0.6726493419053328
Ireland,1,1,结果优势型,0.6566424577611685,0.8629733954053099,0.383569238308404,0.7754045699371171
Israel,1,1,结果优势型,0.7296818866239829,0.901044424271524,0.4949715399549729,0.8293604724659587
Italy,1,1,结果优势型,0.6669578016605199,0.9065247068653418,0.4832420354222714,0.8145925824781624
Jamaica,2,3,资源短板型,0.6268209631854833,0.8067262400213382,0.2856762400328426,0.7243647414519284
Japan,1,1,结果优势型,0.6694820308508955,0.9399240360329492,0.3901258292970951,0.7912967783521463
Jordan,0,2,资源支撑型,0.6450293963922906,0.744827578894007,0.3994274620874242,0.7594727505294613
Kazakhstan,0,2,资源支撑型,0.6306981018899877,0.6207409016615383,0.4319661266498715,0.7436414627906607
Kenya,2,3,资源短板型,0.5290588670517132,0.6271019184100687,0.1128275242167501,0.5783750244948058
"Korea, Rep.",2,3,资源短板型,0.7015117732697828,0.8673370526016367,0.3238452641218687,0.7628281932750214
Kuwait,2,3,资源短板型,0.6602148647936492,0.82576589627831,0.3505382346363926,0.7589496051636804
Kyrgyz Republic,3,4,协调脆弱型,0.6155698173136042,0.6590628607239573,0.3421362874007902,0.7195603358270558
Lao PDR,2,3,资源短板型,0.450926242047172,0.5473412537784796,0.1226092853705592,0.5582317181246775
Latvia,0,2,资源支撑型,0.6031141273482801,0.7570091923980793,0.4153039658065616,0.7579568033436264
Lebanon,1,1,结果优势型,0.6456448246441224,0.8704531897288144,0.4114888052252299,0.783458842571464
Liberia,3,4,协调脆弱型,0.4381061998510652,0.4099204342794471,0.0657779657277657,0.4772287151727172
Libya,3,4,协调脆弱型,0.6585909581261138,0.7520661546425552,0.3571467354616389,0.7492379188631183
Lithuania,0,2,资源支撑型,0.5706959494442867,0.7893478766950246,0.4488094918828745,0.7661066134222968
Luxembourg,1,1,结果优势型,0.6143821840597359,0.8877987321084229,0.3987926171063018,0.7755028066380557
Madagascar,2,3,资源短板型,0.4639641957224222,0.5486104546035533,0.0541764940244853,0.4896960195274648
Malawi,3,4,协调脆弱型,0.4946411708363026,0.3660087040070712,0.0757494872967627,0.4892455626879934
Malaysia,2,3,资源短板型,0.6566384002030583,0.8181768260143263,0.2744450197864803,0.726838852761362
Maldives,1,1,结果优势型,0.4926504305810795,0.7595180680498302,0.3190037932276174,0.70169029614234
Malta,1,1,结果优势型,0.6777563167204912,0.8904490447427447,0.4290638465137932,0.7983636616226665
Mauritania,2,3,资源短板型,0.4573018978741148,0.6340435467625358,0.0742146808594008,0.527394163285149
Mauritius,2,3,资源短板型,0.707854939737484,0.7594898659795575,0.2838088511295703,0.7309966124121964
Mexico,2,3,资源短板型,0.6515447886906311,0.8004833851350627,0.3049828718037957,0.7360861979348623
Moldova,0,2,资源支撑型,0.5323989107937731,0.7000328283304851,0.3609166273984653,0.7158033764116475
Monaco,1,1,结果优势型,0.6468225895043997,0.8803826364792174,0.4716663003232923,0.8032460202985654
Mongolia,0,2,资源支撑型,0.445987489848463,0.5707172975859387,0.3069300528069327,0.6538285106856951
Morocco,3,4,协调脆弱型,0.6382690292472796,0.6550429714817119,0.2022299642671569,0.6625009590570242
Mozambique,2,3,资源短板型,0.453236944926971,0.5103042013798417,0.0433903514927593,0.464434638227049
Myanmar,3,4,协调脆弱型,0.4756294559818955,0.4997752374593335,0.1626721080659574,0.5815130007903048
Namibia,3,4,协调脆弱型,0.5256752699693527,0.6097132677083715,0.1973485099894485,0.6312181925029248
Nepal,2,3,资源短板型,0.4613724306786828,0.6561943013143223,0.109128006259458,0.5664610492947332
Netherlands,1,1,结果优势型,0.6564619690737711,0.8811034701016761,0.4284473844864749,0.7925420789589607
New Zealand,1,1,结果优势型,0.6506976545803753,0.8752967273555652,0.4147314827976815,0.7862311719156907
Nicaragua,2,3,资源短板型,0.5546136325938421,0.7931197685839213,0.2105739848935598,0.6726497810749049
Niger,3,4,协调脆弱型,0.4920503828446415,0.3578292126087926,0.0616967487163547,0.4706065211311549
Nigeria,3,4,协调脆弱型,0.4746089206504343,0.4385157015916202,0.0849135442022181,0.5103674898435803
North Macedonia,1,1,结果优势型,0.6283294461725418,0.7766188133596565,0.4030946769546096,0.7626063148851082
Norway,1,1,结果优势型,0.6662479131542268,0.892925422958382,0.4809218985044697,0.8117474514473023
Oman,2,3,资源短板型,0.6597427690278037,0.7952636248716811,0.2988245779836774,0.7343171625226306
Pakistan,2,3,资源短板型,0.5106338665920109,0.6123661218893881,0.1607306516980541,0.607486427637334
Panama,2,3,资源短板型,0.6043086921037145,0.8565119957968806,0.2859357816502394,0.727294214372593
Papua New Guinea,2,3,资源短板型,0.4033466701187286,0.6026110730733198,0.0760180991088317,0.5141684585500684
Paraguay,1,1,结果优势型,0.5424881885603169,0.8014588106096575,0.270377070828439,0.699906820252822
Peru,2,3,资源短板型,0.6366055579749124,0.8305966648315175,0.2353096809998922,0.7065616593729402
Philippines,1,1,结果优势型,0.5311761094681082,0.7547506982686779,0.2487653376472419,0.6809867375746854
Poland,1,1,结果优势型,0.6383728212515094,0.8064217078804201,0.3795236708485743,0.761750201464389
Portugal,1,1,结果优势型,0.6782216127065921,0.8607394737822379,0.4787474332833165,0.8085836722181091
Qatar,2,3,资源短板型,0.7164942589167331,0.8034822248354564,0.3663543722069918,0.7715221421717077
Romania,1,1,结果优势型,0.553488621228214,0.752726738704259,0.3376479941721947,0.7211656553040598
Russian Federation,0,2,资源支撑型,0.5691876130376208,0.65766867792801,0.50202515523465,0.7568294323245659
Samoa,2,3,资源短板型,0.6196358762409192,0.7730744011623178,0.2697872543321955,0.7110441144821162
Saudi Arabia,2,3,资源短板型,0.7024851788317424,0.7887980107243853,0.3063918593842129,0.7441263768350519
Senegal,2,3,资源短板型,0.5398023785362429,0.6078995702705082,0.1231363986591235,0.5857903049373674
Serbia,0,2,资源支撑型,0.5602858701343002,0.7397730982271448,0.418735225005031,0.74686358238214
Seychelles,1,1,结果优势型,0.6215529421347993,0.7941595205626317,0.3274215948791046,0.7380439062959537
Sierra Leone,3,4,协调脆弱型,0.4577261309306202,0.3489040430354972,0.0625522983923113,0.4640796198336336
Singapore,2,3,资源短板型,0.7388677538552184,0.9208546470613566,0.3361374566492124,0.7820102602015546
Slovak Republic,0,2,资源支撑型,0.6411504722675334,0.7998589963888256,0.4584820540804317,0.7856261973475129
Slovenia,1,1,结果优势型,0.6208592741973056,0.8576566954633804,0.4117531036678682,0.7765282431660796
Solomon Islands,1,1,结果优势型,0.4406819104405146,0.5954766277855353,0.1532188787028696,0.5853069808753357
South Africa,3,4,协调脆弱型,0.5918388559113754,0.6432119631200218,0.2443033087963031,0.6731024264202984
Spain,1,1,结果优势型,0.6414622403583783,0.9058465690783936,0.4623092463724297,0.803266619855754
Sri Lanka,2,3,资源短板型,0.5926244961500495,0.8065191303737905,0.2375418423075762,0.6958608428619247
St. Lucia,2,3,资源短板型,0.5954020298078222,0.7902522817526473,0.2719244531538561,0.7098567595107353
St. Vincent and the Grenadines,2,3,资源短板型,0.6080129041777272,0.7607785748309674,0.2526153724518013,0.699205991123075
Sudan,3,4,协调脆弱型,0.532096567031534,0.4720012879233726,0.0895220044043833,0.531264226520641
Suriname,2,3,资源短板型,0.5762810508231614,0.7464408789489917,0.23636842432888,0.6831821895717055
Sweden,1,1,结果优势型,0.6739698359251958,0.917622248813252,0.461967353673321,0.8115574709913032
Switzerland,1,1,结果优势型,0.6325599472978101,0.912341644947628,0.5036482129726652,0.8138875672605776
Syrian Arab Republic,3,4,协调脆弱型,0.663519853959422,0.7019562819649489,0.3123903155938343,0.7252319437315011
Tajikistan,3,4,协调脆弱型,0.6020923813303198,0.6660856946039333,0.3350154223754203,0.7156648265826063
Tanzania,2,3,资源短板型,0.4733229165017813,0.5418459737862924,0.0545327337355185,0.4908496006564244
Thailand,1,1,结果优势型,0.5424506129078596,0.7942461507457396,0.2535364366502271,0.691394548437568
Timor-Leste,3,4,协调脆弱型,0.5156150441680759,0.609215920042875,0.2399330309753965,0.6499268475240334
Togo,2,3,资源短板型,0.4562298807599647,0.5260109342270023,0.0677221332547899,0.5032898685911639
Trinidad and Tobago,3,4,协调脆弱型,0.6051874528567227,0.6985635254024453,0.2932605279226958,0.7061412340328437
Tunisia,2,3,资源短板型,0.6786603650047237,0.7655094532860364,0.2574104368221906,0.7151078289367112
Turkiye,2,3,资源短板型,0.6270228301744637,0.7418033578143635,0.3050532772975256,0.7222008146703245
Turkmenistan,0,2,资源支撑型,0.572606935749939,0.6230707531471376,0.3968039002659115,0.7219298243297491
Tuvalu,0,2,资源支撑型,0.5201385348960818,0.5333780897751821,0.4020818877042929,0.6938167580226322
Uganda,3,4,协调脆弱型,0.5226492028894869,0.4585932149777893,0.0749690880649188,0.5117839841546422
Ukraine,0,2,资源支撑型,0.6113545826645633,0.6830741453655174,0.4336547654315086,0.752172625618751
United Arab Emirates,2,3,资源短板型,0.7137524154789678,0.8071114228008305,0.339470859371851,0.7618695169543903
United Kingdom,1,1,结果优势型,0.6105799189435241,0.8713183040052705,0.3970367259958826,0.7717174831155699
United States,1,1,结果优势型,0.6592125909815796,0.8430121101172403,0.4765090282125899,0.801349075289501
Uruguay,0,2,资源支撑型,0.675231992415152,0.824734540087857,0.4960479789029679,0.8070153829487385
Uzbekistan,0,2,资源支撑型,0.6135232982921077,0.6621912719822722,0.4222980286206017,0.7454278154349131
Vanuatu,1,1,结果优势型,0.4613278371326476,0.696961663845253,0.1839586696250913,0.6241990959468121
Viet Nam,2,3,资源短板型,0.5394520447216241,0.8226008410606402,0.2123353025986405,0.6745705333320619
Zambia,3,4,协调脆弱型,0.4845133260904761,0.3357659702764715,0.1039229074269918,0.506612166733321
Zimbabwe,3,4,协调脆弱型,0.5359004628340359,0.4953409561491508,0.1646171825691839,0.5934861509525815
