,year,n_countries,Mean_Need_Score,Mean_U3_Score,Mean_Resource_Gap,Median_Resource_Gap,Shortage_Share,Mean_D_Value
0,2000,164,0.350824,0.286768,0.064056,0.00989,0.536585,0.68634
1,2001,164,0.346658,0.288207,0.058451,0.011741,0.512195,0.688848
2,2002,164,0.342801,0.293384,0.049416,0.005985,0.506098,0.692304
3,2003,164,0.338689,0.294627,0.044061,0.000905,0.5,0.69504
4,2004,164,0.334551,0.29783,0.03672,-0.010462,0.481707,0.698219
5,2005,164,0.330378,0.300854,0.029524,-0.01808,0.457317,0.701164
6,2006,164,0.326218,0.303635,0.022583,-0.024215,0.45122,0.704031
7,2007,164,0.321935,0.306274,0.015661,-0.032135,0.45122,0.706649
8,2008,164,0.318052,0.310203,0.007848,-0.037196,0.432927,0.709494
9,2009,164,0.314146,0.317589,-0.003443,-0.048312,0.414634,0.713891
10,2010,164,0.310539,0.320556,-0.010017,-0.061572,0.408537,0.716371
11,2011,164,0.306505,0.323238,-0.016733,-0.067136,0.408537,0.719074
12,2012,164,0.303166,0.326098,-0.022932,-0.073694,0.396341,0.721373
13,2013,164,0.29958,0.330585,-0.031005,-0.084179,0.390244,0.724562
14,2014,164,0.296502,0.333392,-0.03689,-0.082829,0.371951,0.726933
15,2015,164,0.294104,0.337662,-0.043558,-0.087016,0.378049,0.729506
16,2016,164,0.29114,0.342237,-0.051097,-0.092451,0.365854,0.73212
17,2017,164,0.288454,0.345865,-0.057411,-0.098705,0.353659,0.734217
18,2018,164,0.285847,0.35007,-0.064224,-0.105135,0.359756,0.736906
19,2019,164,0.283739,0.355048,-0.071309,-0.105577,0.341463,0.739216
20,2020,164,0.286095,0.361514,-0.075419,-0.121154,0.347561,0.741047
21,2021,164,0.289135,0.367201,-0.078066,-0.137225,0.335366,0.742043
22,2022,164,0.283972,0.36877,-0.084799,-0.12105,0.329268,0.744319
23,2023,164,0.282095,0.369096,-0.087001,-0.12687,0.323171,0.745245
