threshold,rss,n,k,aic,bic,adj_r2
0.149814,0.23589399604000588,403,50,-1755.98919260822,-1556.0423645108858,0.9944446168806697
0.147414,0.23602251022902215,403,50,-1755.7696994615899,-1555.8228713642557,0.9944415903282001
0.151618,0.2361273544790656,403,50,-1755.5907214013587,-1555.6438933040245,0.9944391212107718
0.154483,0.23656126420660192,403,50,-1754.850844609739,-1554.9040165124047,0.9944289024904308
0.143477,0.23718081908134497,403,50,-1753.7967657525987,-1553.8499376552645,0.9944143117642977
0.156888,0.23733447614353656,403,50,-1753.5357676399954,-1553.5889395426611,0.9944106930886901
0.158652,0.2376901563939024,403,50,-1752.932265598768,-1552.9854375014338,0.9944023166989052
0.140645,0.23856679707042694,403,50,-1751.4486690273625,-1551.5018409300283,0.9943816715154845
0.137973,0.23897348683270056,403,50,-1750.7622514858713,-1550.815423388537,0.9943720938345004
0.139673,0.23901988112120492,403,50,-1750.6840207003438,-1550.7371926030096,0.9943710012333681
0.162088,0.23911010056228285,403,50,-1750.5319347129398,-1550.5851066156056,0.9943688765351205
0.134906,0.2392922607409621,403,50,-1750.2250359118739,-1550.2782078145397,0.994364586601512
0.164765,0.24020610788111005,403,50,-1748.6889270636566,-1548.7420989663224,0.9943430651933317
0.1328,0.24034164308374664,403,50,-1748.461600276667,-1548.5147721793328,0.994339873293625
0.131284,0.24104533422973656,403,50,-1747.283389202441,-1547.3365611051067,0.9943233011299444
0.129713,0.2417294513024162,403,50,-1746.1412443635209,-1546.1944162661866,0.994307189942288
0.128926,0.2422103192229552,403,50,-1745.3403602553763,-1545.393532158042,0.9942958653406735
0.126392,0.24453556850901642,403,50,-1741.4899626893025,-1541.5431345919683,0.994241104936217
0.124546,0.24605530972529796,403,50,-1738.9931463136527,-1539.0463182163185,0.9942053145183157
0.121971,0.24840794440804925,403,50,-1735.1582043889716,-1535.2113762916374,0.9941499091785364
0.120743,0.24949131470443067,403,50,-1733.4044403072917,-1533.4576122099575,0.9941243954428859
0.118886,0.25206876898853847,403,50,-1729.262471064219,-1529.3156429668848,0.9940636955257148
0.116849,0.254831091014163,403,50,-1724.8701763177605,-1524.9233482204263,0.9939986419109178
0.115798,0.2560763661348849,403,50,-1722.9056449317977,-1522.9588168344635,0.993969315262081
0.114677,0.2573543024014122,403,50,-1720.8994952781054,-1520.9526671807712,0.9939392194322514
0.112876,0.25936437629379083,403,50,-1717.7640798259863,-1517.817251728652,0.993891881514552
0.111895,0.2606496009079682,403,50,-1715.7720311625562,-1515.825203065222,0.9938616140416785
0.1099,0.2634167204037396,403,50,-1711.5162357609152,-1511.569407663581,0.9937964474448425
0.108439,0.2656337580709947,403,50,-1708.1385943206492,-1508.191766223315,0.9937442354604836
0.106953,0.26785818868427214,403,50,-1704.7779035449162,-1504.831075447582,0.993691849369754
0.105297,0.2704384234692201,403,50,-1700.9144477522295,-1500.9676196548953,0.993631083970851
0.104231,0.2721071177880164,403,50,-1698.4354450515693,-1498.488616954235,0.9935917856571779
0.102477,0.27488630289329163,403,50,-1694.3402541666437,-1494.3934260693095,0.9935263349111711
0.101678,0.2762079616305746,403,50,-1692.4072654691845,-1492.4604373718503,0.9934952094024178
0.099602,0.2789145485764367,403,50,-1688.4774547971247,-1488.5306266997904,0.9934314683675357
0.098834,0.27977499499223135,403,50,-1687.2361207370059,-1487.2892926396717,0.9934112045644139
0.097407,0.28141797172111177,403,50,-1684.876427894339,-1484.9295997970048,0.9933725119086518
0.077647,0.2815459858095161,403,50,-1684.693149097087,-1484.7463209997527,0.9933694971337204
0.09619,0.2826802440258689,403,50,-1683.0728533618558,-1483.1260252645216,0.9933427849704018
0.080541,0.2826805690076233,403,50,-1683.0723900554362,-1483.125561958102,0.993342777316972
0.082251,0.28332557380773665,403,50,-1682.1538945575858,-1482.2070664602516,0.993327587236518
0.095168,0.2835669959949219,403,50,-1681.8106438166155,-1481.8638157192813,0.9933219016626339
0.084055,0.2837924366955843,403,50,-1681.490379088778,-1481.5435509914437,0.9933165924581442
0.085624,0.28442447081960365,403,50,-1680.5938557588433,-1480.6470276615091,0.9933017078414844
0.093312,0.2847938748852502,403,50,-1680.0707880802343,-1480.1239599829,0.9932930082512237
0.086857,0.28504077508454556,403,50,-1679.7215612069722,-1479.774733109638,0.9932871936683078
0.092505,0.28516482568909896,403,50,-1679.5462125455215,-1479.5993844481873,0.993284272234757
0.091461,0.2855019216789064,403,50,-1679.0701038522434,-1479.1232757549092,0.9932763335105723
0.088531,0.28559896701722076,403,50,-1678.9331428616683,-1478.986314764334,0.9932740480601441
0.08994,0.285717643931163,403,50,-1678.765716268112,-1478.8188881707779,0.9932712531788184
